"","country","countrynumber","year","legelec","preselec","regime","regime_leg","eighties","nineties","old","avemag","districts","eneg","enep","enep_others","enep1","enpp","enpp_others","enpp1","enpres","medmag","newdem","proximity1","proximity2","seats","upperseats","uppertier","twoelections","twoelections1"
"46","Australia",129,1983,1,0,0,0,0,0,1,1,125,1.1744,2.67,1.4,2.67,2.23,0,2.23,0,1,0,0,0,125,0,0,0,0
"47","Australia",129,1984,1,0,0,0,1,0,1,1,148,1.1744,2.79,1.1,2.79,2.38,0,2.38,0,1,0,0,0,148,0,0,0,0
"48","Australia",129,1987,1,0,0,0,0,0,1,1,148,1.1744,2.9,2,3.02,2.28,0,2.28,0,1,0,0,0,148,0,0,0,0
"49","Australia",129,1990,1,0,0,0,0,0,1,1,148,1.1744,3.33,5.9,3.34,2.35,0.7,2.35,0,1,0,0,0,148,0,0,0,0
"50","Australia",129,1993,1,0,0,0,0,0,1,1,147,1.1744,2.87,7.1,2.88,2.38,1.4,2.39,0,1,0,0,0,147,0,0,0,0
"51","Australia",129,1996,1,0,0,0,0,1,1,1,148,1.1744,3.19,4.06,3.21,2.62,3.4,2.62,0,1,0,0,0,148,0,0,0,0
"52","Australia",129,1998,1,0,0,0,0,0,1,1,148,1.1744,3.46,1.91,3.46,2.48,0.7,2.48,0,1,0,0,0,148,0,0,0,0
"53","Austria",101,1949,1,0,0,0,0,0,1,6.6,25,1.14368,2.78,0.5,2.78,2.54,0,2.54,0,NA,0,0,0,165,21,12.73,0,0
"54","Austria",101,1953,1,0,0,0,0,0,1,6.6,25,1.14368,2.76,0.4,2.76,2.48,0,2.48,2.93,NA,0,0.33,0,165,24,14.55,0,0
"55","Austria",101,1956,1,0,0,0,0,0,1,6.6,25,1.14368,2.48,0.1,2.48,2.23,0,2.23,2.93,NA,0,0.67,0,165,18,10.91,0,0
"56","Austria",101,1959,1,0,0,0,0,0,1,6.6,25,1.14368,2.48,0.1,2.48,2.2,0,2.2,2,NA,0,0.33,0,165,20,12.12,0,0
"57","Austria",101,1962,1,0,0,0,0,0,1,6.6,25,1.14368,2.47,0.5,2.47,2.19,0,2.19,2,NA,0,0.67,0,165,17,10.3,0,0
"58","Austria",101,1966,1,0,0,0,0,0,1,6.6,25,1.14368,2.39,0,2.39,2.14,0,2.14,2,NA,0,0.67,0,165,14,8.48,0,0
"59","Austria",101,1970,1,0,0,0,0,0,1,6.6,25,1.14368,2.29,0,2.29,2.12,0,2.12,2,23,0,0.67,0,165,14,8.48,0,0
"60","Austria",101,1971,1,1,0,0,0,0,1,20.33,9,1.14368,2.28,0,2.28,2.21,0,2.21,1.99,27,0,1,1,183,16,8.74,0,0
"61","Austria",101,1975,1,0,0,0,0,0,1,20.33,9,1.14368,2.27,0,2.27,2.21,0,2.21,2,29,0,0.67,0,183,12,6.56,0,0
"62","Austria",101,1979,1,0,0,0,0,0,1,20.33,9,1.14368,2.28,0,2.28,2.22,0,2.22,2,29,0,0.67,0,183,14,7.65,0,0
